#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.27,3.72
2,1000,0.27,7.43
4,1000,0.27,14.89
8,1000,0.27,29.71
16,1000,0.27,59.38
32,1000,0.28,114.32
64,1000,0.28,225.40
128,1000,0.29,439.62
256,1000,0.31,835.90
512,1000,0.56,906.51
1024,1000,0.60,1698.81
2048,1000,0.72,2827.58
4096,1000,0.94,4372.70
8192,1000,1.50,5445.14
16384,1000,2.34,6998.72
32768,1000,3.51,9345.67
65536,640,5.86,11175.95
131072,320,8.75,14985.15
262144,160,15.33,17103.51
524288,80,42.82,12244.75
1048576,40,84.21,12451.66
2097152,20,167.94,12487.74
4194304,10,397.63,10548.35
8388608,5,1084.91,7732.08
16777216,2,2129.03,7880.20
33554432,1,6155.63,5451.02
67108864,1,12457.19,5387.16
134217728,1,25658.95,5230.84
268435456,1,52441.50,5118.76
