"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.26,0,0.3061,0
"2",1,1000,0.27,3.7,0.3063,3.2651
"3",2,1000,0.27,7.38,0.3064,6.5268
"4",4,1000,0.27,14.75,0.3067,13.0401
"5",8,1000,0.27,29.65,0.3074,26.0265
"6",16,1000,0.27,59.3,0.3086,51.8394
"7",32,1000,0.28,113.86,0.3112,102.8349
"8",64,1000,0.28,225.7,0.3162,202.3772
"9",128,1000,0.29,439.46,0.3264,392.2099
"10",256,1000,0.3,839.75,0.3465,738.733
"11",512,1000,0.57,900.56,0.3867,1323.9182
"12",1024,1000,0.6,1713.09,0.4664,2195.4816
"13",2048,1000,0.72,2832.58,0.6229,3287.6029
"14",4096,1000,0.94,4340.94,0.9247,4429.4798
"15",8192,1000,1.47,5570.57,1.4836,5521.5851
"16",16384,1000,2.38,6878.08,2.4434,6705.5382
"17",32768,1000,3.61,9070.83,3.8795,8446.3801
"18",65536,640,5.87,11164.38,5.8689,11166.6243
"19",131072,320,8.86,14793.35,9.8287,13335.641
"20",262144,160,16.52,15868.56,18.0905,14490.7235
"21",524288,80,41.52,12626.33,41.5175,12628.1304
"22",1048576,40,83.34,12582.56,99.036,10587.822
"23",2097152,20,167.7,12505.36,195.4953,10727.3769
"24",4194304,10,413.2,10150.81,413.1662,10151.6148
