#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.30
2,1000,0.23,8.59
4,1000,0.23,17.21
8,1000,0.23,34.43
16,1000,0.23,68.64
32,1000,0.24,132.77
64,1000,0.24,265.11
128,1000,0.26,493.68
256,1000,0.28,905.80
512,1000,0.41,1259.72
1024,1000,0.45,2257.82
2048,1000,0.59,3487.41
4096,1000,0.87,4694.03
8192,1000,1.41,5808.46
16384,1000,2.35,6960.11
32768,1000,3.52,9317.44
65536,640,5.70,11498.62
131072,320,8.62,15210.44
262144,160,14.91,17586.91
524288,80,40.40,12977.12
1048576,40,80.97,12949.59
2097152,20,155.11,13520.07
4194304,10,398.77,10518.03
8388608,5,1118.57,7499.38
16777216,2,2409.86,6961.91
33554432,1,5923.89,5664.25
67108864,1,11801.03,5686.70
134217728,1,24219.00,5541.84
268435456,1,50307.15,5335.93
