#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,3.95
2,1000,0.25,7.89
4,1000,0.25,15.71
8,1000,0.26,31.24
16,1000,0.26,62.48
32,1000,0.27,120.08
64,1000,0.27,239.52
128,1000,0.27,469.60
256,1000,0.29,872.12
512,1000,0.52,977.59
1024,1000,0.57,1781.08
2048,1000,0.70,2909.45
4096,1000,0.91,4517.15
8192,1000,1.50,5451.72
16384,1000,2.41,6806.83
32768,1000,3.63,9036.30
65536,640,5.92,11069.50
131072,320,8.91,14718.90
262144,160,15.75,16646.36
524288,80,41.76,12554.18
1048576,40,83.95,12490.57
2097152,20,163.37,12836.80
4194304,10,403.81,10386.77
8388608,5,1010.46,8301.80
16777216,2,2185.35,7677.12
33554432,1,5991.42,5600.42
67108864,1,12463.47,5384.45
134217728,1,25784.49,5205.37
268435456,1,52735.72,5090.20
