#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.40
2,1000,0.23,8.86
4,1000,0.23,17.64
8,1000,0.23,35.15
16,1000,0.23,70.33
32,1000,0.24,133.02
64,1000,0.24,264.66
128,1000,0.26,496.56
256,1000,0.28,909.12
512,1000,0.42,1206.84
1024,1000,0.45,2266.19
2048,1000,0.59,3453.72
4096,1000,0.85,4836.02
8192,1000,1.47,5584.42
16384,1000,2.38,6892.30
32768,1000,3.58,9141.98
65536,640,5.65,11606.81
131072,320,8.71,15055.18
262144,160,14.91,17583.26
524288,80,40.49,12949.03
1048576,40,80.79,12978.34
2097152,20,153.75,13639.82
4194304,10,387.95,10811.51
8388608,5,1119.42,7493.70
16777216,2,2526.79,6639.74
33554432,1,5918.41,5669.50
67108864,1,11824.20,5675.55
134217728,1,23792.24,5641.24
268435456,1,49241.10,5451.45
