#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.30
2,1000,0.23,8.60
4,1000,0.23,17.23
8,1000,0.23,34.41
16,1000,0.23,68.61
32,1000,0.24,132.27
64,1000,0.24,263.70
128,1000,0.26,495.58
256,1000,0.28,908.51
512,1000,0.41,1244.35
1024,1000,0.44,2306.62
2048,1000,0.59,3471.38
4096,1000,0.85,4812.01
8192,1000,1.43,5709.64
16384,1000,2.35,6983.19
32768,1000,3.49,9382.52
65536,640,5.72,11449.40
131072,320,8.59,15266.44
262144,160,14.93,17560.93
524288,80,41.42,12659.18
1048576,40,81.33,12892.99
2097152,20,152.77,13727.29
4194304,10,377.19,11119.88
8388608,5,1105.16,7590.44
16777216,2,2439.61,6877.01
33554432,1,5918.09,5669.81
67108864,1,11865.76,5655.67
134217728,1,23803.52,5638.57
268435456,1,49452.17,5428.18
