"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,5.15,0,5.3113,0
"2",1,1000,5.17,0.19,5.3119,0.1883
"3",2,1000,5.15,0.39,5.3124,0.3765
"4",4,1000,5.14,0.78,5.3135,0.7528
"5",8,1000,5.14,1.56,5.3156,1.505
"6",16,1000,5.14,3.11,5.3199,3.0076
"7",32,1000,5.14,6.23,5.3285,6.0055
"8",64,1000,5.19,12.34,5.3456,11.9724
"9",128,1000,5.19,24.64,5.38,23.792
"10",256,1000,5.27,48.59,5.4486,46.9846
"11",512,1000,6.58,77.87,5.5858,91.6602
"12",1024,1000,6.73,152.14,5.8603,174.7354
"13",2048,1000,6.97,293.66,6.4092,319.5418
"14",4096,1000,7.5,546.2,7.5066,545.654
"15",8192,1000,8.35,981.62,9.694,845.0546
"16",16384,1000,14.76,1110,14.0175,1168.8259
"17",32768,1000,22.41,1462.4,22.4984,1456.4617
"18",65536,640,39.21,1671.47,39.2019,1671.7567
"19",131072,320,73,1795.4,64.716,2025.3401
"20",262144,160,53.67,4884.28,80.3842,3261.1401
"21",524288,80,89.14,5881.58,88.9386,5894.9423
"22",1048576,40,152.47,6877.08,198.3396,5286.7699
"23",2097152,20,303.43,6911.51,359.8863,5827.2627
"24",4194304,10,644.32,6509.69,644.3602,6509.2536
