#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,4.01
2,1000,0.25,8.08
4,1000,0.25,16.06
8,1000,0.25,32.13
16,1000,0.25,64.58
32,1000,0.29,109.02
64,1000,0.29,221.88
128,1000,0.39,325.71
256,1000,0.40,634.47
512,1000,0.46,1118.02
1024,1000,0.59,1727.77
2048,1000,0.82,2504.53
4096,1000,1.19,3441.75
8192,1000,1.94,4222.53
16384,1000,3.59,4559.72
32768,1000,4.29,7637.12
65536,640,5.96,10995.20
131072,320,8.04,16299.91
262144,160,12.38,21174.44
524288,80,21.59,24278.90
1048576,40,48.90,21443.10
2097152,20,138.88,15100.65
4194304,10,293.79,14276.66
8388608,5,811.84,10332.87
16777216,2,2202.93,7615.88
33554432,1,5189.41,6465.95
67108864,1,10475.01,6406.57
134217728,1,20944.29,6408.32
268435456,1,42013.04,6389.34
