#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.54
2,1000,0.28,7.10
4,1000,0.28,14.09
8,1000,0.28,28.14
16,1000,0.29,54.30
32,1000,0.29,110.59
64,1000,0.32,198.52
128,1000,0.36,350.83
256,1000,0.43,588.51
512,1000,0.58,880.13
1024,1000,0.67,1523.34
2048,1000,0.82,2499.68
4096,1000,1.69,2427.83
8192,1000,1.98,4135.36
16384,1000,2.56,6397.72
32768,1000,3.54,9263.78
65536,640,5.47,11970.82
131072,320,9.26,14160.65
262144,160,16.81,15592.81
524288,80,36.88,14217.26
1048576,40,98.25,10673.04
2097152,20,237.59,8826.73
4194304,10,559.65,7494.45
8388608,5,1714.48,4892.79
16777216,2,4020.65,4172.76
33554432,1,8781.98,3820.83
67108864,1,17695.14,3792.50
134217728,1,35368.49,3794.84
268435456,1,69520.03,3861.27
