"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.26,0,0.3659,0
"2",1,1000,0.28,3.59,0.3662,2.731
"3",2,1000,0.28,7.18,0.3664,5.4585
"4",4,1000,0.28,14.14,0.3669,10.9033
"5",8,1000,0.28,28.83,0.3678,21.7515
"6",16,1000,0.29,54.73,0.3696,43.2846
"7",32,1000,0.29,108.98,0.3734,85.709
"8",64,1000,0.34,190.67,0.3808,168.0797
"9",128,1000,0.37,346.96,0.3956,323.5785
"10",256,1000,0.45,569.69,0.4251,602.2567
"11",512,1000,0.62,825.05,0.4836,1058.627
"12",1024,1000,0.73,1405.13,0.5992,1709.0527
"13",2048,1000,0.85,2417.15,0.8235,2487.0164
"14",4096,1000,1.76,2330.16,1.2454,3288.8731
"15",8192,1000,2.13,3845.11,1.9865,4123.9059
"16",16384,1000,2.7,6079.03,3.1226,5246.9033
"17",32768,1000,3.7,8852.08,4.3907,7462.981
"18",65536,640,5.49,11933.05,5.4896,11938.1359
"19",131072,320,10.79,12148.29,9.1229,14367.4258
"20",262144,160,19.68,13319.81,18.4246,14227.9048
"21",524288,80,41.53,12622.86,41.5256,12625.6649
"22",1048576,40,101.95,10285.24,93.2325,11246.8962
"23",2097152,20,224.98,9321.54,215.4416,9734.2036
"24",4194304,10,504.78,8309.1,504.7739,8309.272
