#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.28,3.51
2,1000,0.28,7.12
4,1000,0.28,14.33
8,1000,0.29,27.98
16,1000,0.29,54.60
32,1000,0.30,107.55
64,1000,0.32,197.34
128,1000,0.37,344.00
256,1000,0.44,580.18
512,1000,0.58,884.08
1024,1000,0.69,1492.93
2048,1000,0.85,2409.14
4096,1000,1.72,2379.31
8192,1000,1.97,4162.93
16384,1000,2.61,6272.36
32768,1000,3.40,9650.60
65536,640,5.57,11764.42
131072,320,9.41,13922.28
262144,160,16.74,15657.95
524288,80,36.88,14217.01
1048576,40,96.60,10854.86
2097152,20,228.16,9191.41
4194304,10,533.86,7856.53
8388608,5,1618.03,5184.46
16777216,2,3655.68,4589.36
33554432,1,7560.83,4437.93
67108864,1,14919.93,4497.93
134217728,1,29802.26,4503.61
268435456,1,59545.93,4508.04
