#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.23,0.00
1,1000,5.27,0.19
2,1000,5.25,0.38
4,1000,5.24,0.76
8,1000,5.26,1.52
16,1000,5.25,3.05
32,1000,5.26,6.08
64,1000,5.25,12.20
128,1000,5.32,24.06
256,1000,5.34,47.91
512,1000,5.36,95.59
1024,1000,5.92,173.02
2048,1000,5.77,354.74
4096,1000,6.71,610.51
8192,1000,7.20,1137.96
16384,1000,9.26,1768.38
32768,1000,15.25,2149.11
65536,640,29.36,2231.80
131072,320,41.24,3178.51
262144,160,60.01,4368.43
524288,80,93.67,5597.39
1048576,40,156.84,6685.83
2097152,20,298.60,7023.37
4194304,10,593.23,7070.32
8388608,5,1469.76,5707.47
16777216,2,3161.32,5307.03
33554432,1,6381.42,5258.14
67108864,1,12716.20,5277.43
134217728,1,25336.91,5297.32
268435456,1,50241.93,5342.86
