#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.96,0.00
1,1000,5.08,0.20
2,1000,5.07,0.39
4,1000,5.07,0.79
8,1000,5.05,1.58
16,1000,5.06,3.16
32,1000,5.07,6.31
64,1000,5.09,12.58
128,1000,5.13,24.96
256,1000,5.13,49.93
512,1000,5.20,98.50
1024,1000,5.82,175.83
2048,1000,5.57,367.99
4096,1000,6.45,635.10
8192,1000,6.94,1180.87
16384,1000,8.99,1822.24
32768,1000,14.45,2267.83
65536,640,29.89,2192.65
131072,320,44.35,2955.60
262144,160,62.30,4207.83
524288,80,96.83,5414.29
1048576,40,162.96,6434.76
2097152,20,319.21,6569.81
4194304,10,654.25,6410.89
8388608,5,1546.35,5424.76
16777216,2,3281.05,5113.36
33554432,1,6708.69,5001.64
67108864,1,13210.02,5080.15
134217728,1,26275.37,5108.12
268435456,1,52027.75,5159.47
