#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.86
2,1000,0.20,10.18
4,1000,0.20,20.13
8,1000,0.20,40.08
16,1000,0.19,84.36
32,1000,0.23,139.61
64,1000,0.22,284.98
128,1000,0.32,399.61
256,1000,0.33,776.10
512,1000,0.40,1269.41
1024,1000,0.49,2083.85
2048,1000,0.74,2751.08
4096,1000,1.12,3671.73
8192,1000,1.86,4400.98
16384,1000,2.95,5555.20
32768,1000,4.99,6567.45
65536,640,8.39,7814.19
131072,320,15.14,8655.75
262144,160,13.80,19001.69
524288,80,24.76,21175.97
1048576,40,54.52,19232.93
2097152,20,144.89,14474.31
4194304,10,311.88,13448.48
8388608,5,870.95,9631.61
16777216,2,2281.44,7353.79
33554432,1,5217.34,6431.33
67108864,1,10474.95,6406.60
134217728,1,20916.86,6416.72
268435456,1,41666.69,6442.45
