"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.22,0,0.2722,0
"2",1,1000,0.21,4.72,0.2724,3.6714
"3",2,1000,0.21,9.48,0.2726,7.3372
"4",4,1000,0.21,18.78,0.273,14.652
"5",8,1000,0.21,37.33,0.2738,29.215
"6",16,1000,0.22,73.95,0.2755,58.0773
"7",32,1000,0.25,125.58,0.2788,114.7697
"8",64,1000,0.25,252.87,0.2855,224.1951
"9",128,1000,0.36,359.4,0.2987,428.4594
"10",256,1000,0.38,675.48,0.3252,787.1011
"11",512,1000,0.47,1099.87,0.378,1354.398
"12",1024,1000,0.57,1800.61,0.4827,2121.2675
"13",2048,1000,0.78,2629.4,0.6886,2974.0686
"14",4096,1000,1.15,3557.54,1.0864,3770.2863
"15",8192,1000,1.9,4306.52,1.8272,4483.2638
"16",16384,1000,2.97,5510.21,3.1186,5253.6748
"17",32768,1000,4.79,6834.04,5.1258,6392.7869
"18",65536,640,8.13,8062.95,8.1293,8061.676
"19",131072,320,14.7,8914.16,13.0985,10006.6135
"20",262144,160,14.01,18715.4,17.9547,14600.3028
"21",524288,80,25.21,20794.49,25.1774,20823.72
"22",1048576,40,59.29,17686.13,60.09,17450.0837
"23",2097152,20,156.89,13367.23,145.2142,14441.7836
"24",4194304,10,329.06,12746.43,329.1304,12743.5949
