#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.44,0.00
1,1000,1.45,0.69
2,1000,1.44,1.39
4,1000,1.44,2.77
8,1000,1.44,5.57
16,1000,1.45,11.04
32,1000,1.47,21.84
64,1000,1.72,37.14
128,1000,1.77,72.42
256,1000,2.07,123.97
512,1000,2.13,240.09
1024,1000,2.32,440.53
2048,1000,3.04,672.67
4096,1000,3.90,1049.70
8192,1000,5.05,1623.57
16384,1000,6.80,2408.84
32768,1000,10.84,3023.57
65536,640,13.71,4780.11
131072,320,23.15,5662.96
262144,160,33.36,7857.80
524288,80,57.98,9041.96
1048576,40,98.08,10690.63
2097152,20,185.14,11327.35
4194304,10,359.26,11674.80
8388608,5,700.40,11976.88
16777216,2,1386.10,12103.88
33554432,1,2759.03,12161.68
67108864,1,5509.73,12180.05
134217728,1,10991.16,12211.43
268435456,1,21944.40,12232.53
