#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.13,0.88
2,1000,1.13,1.77
4,1000,1.14,3.51
8,1000,1.13,7.10
16,1000,1.13,14.16
32,1000,1.16,27.62
64,1000,1.34,47.78
128,1000,1.39,92.13
256,1000,1.64,156.42
512,1000,1.71,298.71
1024,1000,1.89,540.54
2048,1000,2.61,785.23
4096,1000,3.37,1214.47
8192,1000,4.32,1897.51
16384,1000,6.08,2695.49
32768,1000,9.58,3419.12
65536,640,12.45,5265.44
131072,320,21.75,6025.76
262144,160,32.70,8016.58
524288,80,54.22,9669.83
1048576,40,97.52,10752.82
2097152,20,185.55,11302.57
4194304,10,352.50,11898.89
8388608,5,695.77,12056.63
16777216,2,1374.32,12207.66
33554432,1,2755.58,12176.91
67108864,1,5492.08,12219.22
134217728,1,10968.63,12236.51
268435456,1,21978.39,12213.61
