"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,8.96,0,9.2962,0
"2",1,1000,9.09,0.11,9.2975,0.1076
"3",2,1000,9.04,0.22,9.2988,0.2151
"4",4,1000,9.09,0.44,9.3014,0.43
"5",8,1000,9.27,0.86,9.3067,0.8596
"6",16,1000,8.79,1.82,9.3172,1.7173
"7",32,1000,8.75,3.66,9.3382,3.4268
"8",64,1000,8.78,7.29,9.3802,6.8229
"9",128,1000,8.85,14.46,9.4641,13.5248
"10",256,1000,8.83,29,9.6316,26.5792
"11",512,1000,11.21,45.69,9.9657,51.3764
"12",1024,1000,11.67,87.77,10.6297,96.3335
"13",2048,1000,14.32,143.07,11.9417,171.5004
"14",4096,1000,15.48,264.62,14.5006,282.4713
"15",8192,1000,17.83,459.45,19.3616,423.1049
"16",16384,1000,28.07,583.78,28.1875,581.2513
"17",32768,1000,41.47,790.2,43.1686,759.0704
"18",65536,640,68.74,953.37,68.7292,953.5396
"19",131072,320,126.05,1039.86,115.7466,1132.4052
"20",262144,160,171.87,1525.28,183.5287,1428.3543
"21",524288,80,272.3,1925.39,272.167,1926.3464
"22",1048576,40,474.27,2210.91,464.526,2257.3033
"23",2097152,20,926.45,2263.65,910.8979,2302.2909
"24",4194304,10,1994.69,2102.74,1994.695,2102.7295
