#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.86,0.00
1,1000,8.77,0.11
2,1000,8.82,0.23
4,1000,8.72,0.46
8,1000,8.72,0.92
16,1000,8.72,1.84
32,1000,8.83,3.63
64,1000,8.73,7.33
128,1000,8.91,14.37
256,1000,8.89,28.79
512,1000,10.54,48.59
1024,1000,10.90,93.96
2048,1000,12.73,160.89
4096,1000,13.73,298.24
8192,1000,15.77,519.58
16384,1000,25.05,653.93
32768,1000,36.41,900.02
65536,640,62.67,1045.67
131072,320,117.59,1114.66
262144,160,180.09,1455.65
524288,80,287.81,1821.65
1048576,40,457.47,2292.13
2097152,20,830.28,2525.85
4194304,10,1597.35,2625.79
8388608,5,3208.66,2614.36
16777216,2,7050.43,2379.60
33554432,1,14092.96,2380.94
67108864,1,29255.77,2293.87
134217728,1,58324.62,2301.22
268435456,1,114752.20,2339.26
