#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.61,0.00
1,1000,16.74,0.06
2,1000,16.74,0.12
4,1000,16.68,0.24
8,1000,16.71,0.48
16,1000,16.73,0.96
32,1000,16.77,1.91
64,1000,16.60,3.86
128,1000,16.73,7.65
256,1000,17.16,14.92
512,1000,18.05,28.36
1024,1000,18.11,56.54
2048,1000,39.72,51.57
4096,1000,40.32,101.59
8192,1000,41.37,198.03
16384,1000,43.51,376.56
32768,1000,52.04,629.66
65536,640,61.24,1070.23
131072,320,117.18,1118.51
262144,160,162.00,1618.13
524288,80,243.83,2150.20
1048576,40,407.26,2574.69
2097152,20,729.09,2876.38
4194304,10,1505.98,2785.09
8388608,5,3428.67,2446.61
16777216,2,6745.90,2487.02
33554432,1,13531.41,2479.74
67108864,1,23034.61,2913.39
134217728,1,45835.11,2928.27
268435456,1,91514.17,2933.27
