#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.53,0.00
1,1000,15.61,0.06
2,1000,15.61,0.13
4,1000,15.59,0.26
8,1000,15.62,0.51
16,1000,15.66,1.02
32,1000,15.68,2.04
64,1000,15.75,4.06
128,1000,16.22,7.89
256,1000,16.20,15.80
512,1000,16.42,31.18
1024,1000,16.88,60.66
2048,1000,38.99,52.52
4096,1000,39.23,104.42
8192,1000,39.68,206.46
16384,1000,41.67,393.16
32768,1000,48.92,669.77
65536,640,90.57,723.57
131072,320,133.67,980.58
262144,160,204.80,1280.00
524288,80,316.57,1656.13
1048576,40,526.29,1992.39
2097152,20,934.70,2243.66
4194304,10,1968.57,2130.64
8388608,5,4000.03,2097.14
16777216,2,8179.52,2051.12
33554432,1,16296.21,2059.03
67108864,1,32473.26,2066.59
134217728,1,64612.15,2077.28
268435456,1,127524.83,2104.97
