"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.98,0,1.189,0
"2",1,1000,0.99,1.01,1.1895,0.8407
"3",2,1000,1,2.01,1.19,1.6807
"4",4,1000,0.99,4.02,1.1909,3.3589
"5",8,1000,0.98,8.14,1.1927,6.7075
"6",16,1000,0.99,16.2,1.1963,13.3743
"7",32,1000,1,31.88,1.2036,26.5868
"8",64,1000,1.13,56.73,1.2181,52.5389
"9",128,1000,1.17,109.36,1.2472,102.6309
"10",256,1000,2.44,104.83,1.3051,196.1566
"11",512,1000,1.48,345.16,1.4202,360.5243
"12",1024,1000,1.63,626.87,1.6474,621.567
"13",2048,1000,2.32,883.51,2.0905,979.6782
"14",4096,1000,3.25,1261.72,2.9305,1397.728
"15",8192,1000,4.54,1802.93,4.4296,1849.37
"16",16384,1000,6.4,2558.74,6.7966,2410.6105
"17",32768,1000,8.49,3857.77,9.6476,3396.4787
"18",65536,640,12.32,5317.7,12.3167,5320.9169
"19",131072,320,18.51,7081.72,18.8047,6970.1898
"20",262144,160,32.45,8079.61,31.7402,8259.043
"21",524288,80,54.14,9683.27,54.1453,9682.9886
"22",1048576,40,97.36,10769.62,92.2005,11372.7794
"23",2097152,20,182.14,11513.88,175.932,11920.2427
"24",4194304,10,352.98,11882.62,352.9743,11882.7478
