#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.73
2,1000,1.36,1.47
4,1000,1.36,2.94
8,1000,1.36,5.88
16,1000,1.37,11.71
32,1000,1.40,22.92
64,1000,1.68,38.06
128,1000,1.72,74.47
256,1000,2.00,127.77
512,1000,2.06,248.35
1024,1000,2.30,445.03
2048,1000,2.98,686.69
4096,1000,3.97,1031.71
8192,1000,5.50,1489.47
16384,1000,7.33,2234.61
32768,1000,10.01,3274.43
65536,640,14.46,4533.59
131072,320,23.54,5568.99
262144,160,33.28,7875.78
524288,80,55.63,9424.48
1048576,40,98.86,10606.91
2097152,20,184.47,11368.41
4194304,10,354.71,11824.75
8388608,5,698.85,12003.38
16777216,2,1384.67,12116.37
33554432,1,2762.19,12147.77
67108864,1,5510.64,12178.05
134217728,1,11013.52,12186.63
268435456,1,22049.14,12174.42
