#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.45,2.23
2,1000,0.45,4.43
4,1000,0.45,8.91
8,1000,0.45,17.76
16,1000,0.44,36.05
32,1000,0.48,66.52
64,1000,0.48,132.31
128,1000,0.57,225.97
256,1000,0.62,415.06
512,1000,0.94,544.18
1024,1000,0.98,1046.50
2048,1000,1.13,1815.51
4096,1000,1.51,2708.07
8192,1000,2.06,3968.05
16384,1000,3.50,4687.16
32768,1000,5.26,6230.82
65536,640,9.18,7137.69
131072,320,15.22,8613.89
262144,160,27.75,9447.82
524288,80,68.74,7626.83
1048576,40,132.42,7918.58
2097152,20,258.69,8106.85
4194304,10,510.36,8218.27
8388608,5,1060.96,7906.61
16777216,2,2414.41,6948.79
33554432,1,7891.89,4251.76
67108864,1,15796.92,4248.22
134217728,1,31485.70,4262.82
268435456,1,61942.51,4333.62
