#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.63
4,1000,0.43,9.23
8,1000,0.44,18.28
16,1000,0.44,36.77
32,1000,0.47,67.54
64,1000,0.47,134.90
128,1000,0.59,217.82
256,1000,0.62,414.55
512,1000,0.84,611.23
1024,1000,0.87,1178.02
2048,1000,1.03,1992.16
4096,1000,1.43,2867.30
8192,1000,2.03,4043.24
16384,1000,3.18,5150.47
32768,1000,5.07,6464.78
65536,640,9.55,6865.33
131072,320,17.94,7305.54
262144,160,34.33,7635.42
524288,80,83.23,6299.33
1048576,40,170.04,6166.68
2097152,20,337.56,6212.71
4194304,10,669.35,6266.25
8388608,5,1393.94,6017.91
16777216,2,3875.74,4328.78
33554432,1,7982.45,4203.52
67108864,1,15958.39,4205.24
134217728,1,31921.14,4204.67
268435456,1,63844.79,4204.50
