"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.46,0,0.5501,0
"2",1,1000,0.46,2.2,0.5503,1.8171
"3",2,1000,0.46,4.36,0.5505,3.6328
"4",4,1000,0.46,8.7,0.551,7.2597
"5",8,1000,0.46,17.57,0.5519,14.4957
"6",16,1000,0.46,34.91,0.5537,28.8973
"7",32,1000,0.49,65.23,0.5573,57.4219
"8",64,1000,0.49,131.71,0.5645,113.3815
"9",128,1000,0.58,222,0.5788,221.1372
"10",256,1000,0.63,405.81,0.6075,421.4058
"11",512,1000,0.95,536.78,0.6646,770.3807
"12",1024,1000,1.01,1017.04,0.778,1316.2116
"13",2048,1000,1.15,1775.64,1.0013,2045.2787
"14",4096,1000,1.6,2564.94,1.4343,2855.7066
"15",8192,1000,2.12,3873.2,2.2465,3646.5746
"16",16384,1000,3.6,4551.35,3.6818,4449.9751
"17",32768,1000,5.65,5800.72,5.9719,5487.0435
"18",65536,640,9.44,6941.9,9.4386,6943.3787
"19",131072,320,15.61,8396.96,16.31,8036.2843
"20",262144,160,29.56,8868.96,30.7448,8526.4594
"21",524288,80,66.56,7877.4,66.5577,7877.1979
"22",1048576,40,133.63,7847.13,146.677,7148.8802
"23",2097152,20,261.12,8031.36,281.2366,7456.8952
"24",4194304,10,518.03,8096.6,518.0186,8096.8216
