#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.35
2,1000,0.43,4.66
4,1000,0.43,9.28
8,1000,0.43,18.62
16,1000,0.43,37.23
32,1000,0.47,67.48
64,1000,0.47,135.78
128,1000,0.59,217.17
256,1000,0.63,406.34
512,1000,0.83,618.72
1024,1000,0.89,1154.12
2048,1000,1.06,1924.44
4096,1000,1.55,2650.37
8192,1000,1.99,4114.28
16384,1000,3.33,4914.69
32768,1000,5.10,6425.17
65536,640,9.32,7031.01
131072,320,17.98,7290.56
262144,160,34.51,7596.69
524288,80,82.94,6321.66
1048576,40,169.48,6187.15
2097152,20,336.91,6224.63
4194304,10,668.95,6269.99
8388608,5,1392.17,6025.58
16777216,2,3761.92,4459.74
33554432,1,8015.74,4186.07
67108864,1,15970.28,4202.11
134217728,1,31895.91,4207.99
268435456,1,63511.27,4226.58
