#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.33
2,1000,0.43,4.66
4,1000,0.43,9.28
8,1000,0.43,18.63
16,1000,0.43,37.01
32,1000,0.46,69.25
64,1000,0.46,138.91
128,1000,0.57,225.17
256,1000,0.61,419.38
512,1000,0.79,645.26
1024,1000,0.88,1162.28
2048,1000,1.02,2016.71
4096,1000,1.47,2779.58
8192,1000,1.89,4326.89
16384,1000,3.23,5069.86
32768,1000,5.03,6518.40
65536,640,9.37,6996.89
131072,320,17.71,7401.81
262144,160,33.91,7729.87
524288,80,81.87,6404.19
1048576,40,166.74,6288.88
2097152,20,331.18,6332.35
4194304,10,656.96,6384.43
8388608,5,1367.06,6136.23
16777216,2,3802.74,4411.88
33554432,1,7783.09,4311.20
67108864,1,15544.63,4317.17
134217728,1,31159.07,4307.50
268435456,1,62266.00,4311.11
