#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.78,0.00
1,1000,8.74,0.11
2,1000,8.77,0.23
4,1000,8.76,0.46
8,1000,8.76,0.91
16,1000,8.77,1.83
32,1000,8.78,3.65
64,1000,8.95,7.15
128,1000,9.00,14.22
256,1000,9.01,28.41
512,1000,10.39,49.30
1024,1000,10.60,96.57
2048,1000,10.94,187.26
4096,1000,12.36,331.45
8192,1000,14.06,582.73
16384,1000,25.52,642.06
32768,1000,34.92,938.32
65536,640,56.87,1152.43
131072,320,100.93,1298.67
262144,160,120.86,2168.92
524288,80,184.51,2841.48
1048576,40,341.34,3071.91
2097152,20,677.72,3094.43
4194304,10,1331.31,3150.52
8388608,5,2664.21,3148.63
16777216,2,5430.18,3089.62
33554432,1,10999.94,3050.42
67108864,1,21724.86,3089.03
134217728,1,43574.33,3080.20
268435456,1,86893.03,3089.26
