#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.01,0.00
1,1000,8.03,0.12
2,1000,8.22,0.24
4,1000,8.03,0.50
8,1000,8.01,1.00
16,1000,7.99,2.00
32,1000,7.99,4.01
64,1000,8.24,7.77
128,1000,8.31,15.41
256,1000,8.49,30.14
512,1000,10.01,51.15
1024,1000,10.21,100.27
2048,1000,10.58,193.50
4096,1000,11.91,344.03
8192,1000,13.23,619.02
16384,1000,23.95,684.03
32768,1000,33.85,968.00
65536,640,56.16,1166.99
131072,320,103.39,1267.80
262144,160,111.09,2359.72
524288,80,172.99,3030.76
1048576,40,320.54,3271.29
2097152,20,625.86,3350.86
4194304,10,1233.55,3400.18
8388608,5,2447.02,3428.09
16777216,2,4856.58,3454.54
33554432,1,10358.70,3239.25
67108864,1,20596.53,3258.26
134217728,1,40679.52,3299.39
268435456,1,81316.99,3301.10
