#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.62,1.62
2,1000,0.61,3.27
4,1000,0.63,6.37
8,1000,0.62,12.98
16,1000,0.66,24.24
32,1000,0.71,45.28
64,1000,0.93,68.95
128,1000,1.09,117.31
256,1000,1.20,214.04
512,1000,1.14,449.57
1024,1000,1.43,717.67
2048,1000,1.80,1136.13
4096,1000,2.72,1507.58
8192,1000,3.47,2362.80
16384,1000,3.66,4475.50
32768,1000,5.11,6414.64
65536,640,6.28,10439.23
131072,320,11.50,11400.82
262144,160,19.54,13415.15
524288,80,39.85,13156.09
1048576,40,91.48,11461.87
2097152,20,224.40,9345.73
4194304,10,403.46,10395.92
8388608,5,880.71,9524.82
16777216,2,3228.31,5196.91
33554432,1,8478.01,3957.82
67108864,1,17041.96,3937.86
134217728,1,34063.22,3940.25
268435456,1,68056.00,3944.33
