#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.57,1.77
2,1000,0.56,3.55
4,1000,0.56,7.09
8,1000,0.56,14.16
16,1000,0.60,26.82
32,1000,0.68,47.06
64,1000,0.73,87.80
128,1000,0.91,140.24
256,1000,1.03,248.16
512,1000,1.24,414.10
1024,1000,1.52,672.59
2048,1000,1.90,1075.64
4096,1000,2.85,1439.70
8192,1000,3.09,2649.12
16384,1000,3.70,4433.60
32768,1000,4.26,7684.40
65536,640,6.80,9631.68
131072,320,10.31,12707.37
262144,160,17.87,14670.39
524288,80,37.63,13934.54
1048576,40,99.04,10587.80
2097152,20,231.95,9041.52
4194304,10,466.92,8982.94
8388608,5,1166.44,7191.64
16777216,2,3610.27,4647.08
33554432,1,8687.58,3862.35
67108864,1,17194.22,3902.99
134217728,1,34097.93,3936.24
268435456,1,67733.08,3963.14
