#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.00,0.00
1,1000,8.01,0.12
2,1000,8.06,0.25
4,1000,8.03,0.50
8,1000,8.06,0.99
16,1000,8.08,1.98
32,1000,8.05,3.98
64,1000,8.07,7.93
128,1000,8.45,15.14
256,1000,8.45,30.29
512,1000,8.49,60.31
1024,1000,9.49,107.85
2048,1000,9.06,226.00
4096,1000,10.84,377.94
8192,1000,11.70,700.36
16384,1000,15.64,1047.52
32768,1000,26.11,1254.97
65536,640,57.07,1148.25
131072,320,80.49,1628.36
262144,160,121.31,2160.86
524288,80,194.39,2697.08
1048576,40,325.77,3218.81
2097152,20,619.82,3383.51
4194304,10,1226.77,3418.97
8388608,5,2394.34,3503.52
16777216,2,5026.73,3337.60
33554432,1,10219.79,3283.28
67108864,1,20359.09,3296.26
134217728,1,40742.47,3294.30
268435456,1,79709.14,3367.69
