#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.59,0.00
1,1000,8.71,0.11
2,1000,8.67,0.23
4,1000,8.69,0.46
8,1000,8.67,0.92
16,1000,8.67,1.84
32,1000,8.71,3.67
64,1000,8.74,7.32
128,1000,9.02,14.19
256,1000,9.04,28.31
512,1000,9.11,56.22
1024,1000,10.60,96.61
2048,1000,9.59,213.62
4096,1000,11.89,344.52
8192,1000,12.31,665.46
16384,1000,17.12,957.01
32768,1000,27.29,1200.76
65536,640,64.08,1022.78
131072,320,89.43,1465.68
262144,160,136.80,1916.31
524288,80,209.16,2506.65
1048576,40,360.91,2905.39
2097152,20,679.43,3086.63
4194304,10,1349.04,3109.09
8388608,5,2642.94,3173.97
16777216,2,5391.70,3111.67
33554432,1,10812.63,3103.26
67108864,1,21617.36,3104.40
134217728,1,43096.23,3114.37
268435456,1,85964.90,3122.62
