"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.41,0,0.6113,0
"2",1,1000,0.4,2.47,0.6119,1.6343
"3",2,1000,0.4,4.99,0.6124,3.2657
"4",4,1000,0.4,9.96,0.6135,6.5196
"5",8,1000,0.4,20.08,0.6157,12.9924
"6",16,1000,0.41,38.8,0.6202,25.8
"7",32,1000,0.56,57.23,0.629,50.876
"8",64,1000,0.56,115.27,0.6466,98.9757
"9",128,1000,0.9,141.87,0.6819,187.7162
"10",256,1000,0.96,267.32,0.7523,340.3075
"11",512,1000,1.17,437.52,0.8926,573.6302
"12",1024,1000,1.32,776.19,1.1713,874.24
"13",2048,1000,2.12,967.93,1.7212,1189.8983
"14",4096,1000,3.11,1318.07,2.7905,1467.8177
"15",8192,1000,5,1637.52,4.8126,1702.1821
"16",16384,1000,7.98,2053.79,8.4654,1935.4055
"17",32768,1000,13.85,2365.65,14.637,2238.7064
"18",65536,640,25.37,2583.23,25.3695,2583.2578
"19",131072,320,48.1,2725.04,40.7708,3214.8499
"20",262144,160,14.56,18005.82,40.1168,6534.5179
"21",524288,80,26.07,20110.21,25.8809,20257.6877
"22",1048576,40,55.54,18878.89,97.8334,10717.9753
"23",2097152,20,145.26,14437.1,188.7218,11112.3966
"24",4194304,10,299.98,13981.98,300.0686,13977.8161
