#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.28
2,1000,0.43,4.71
4,1000,0.42,9.52
8,1000,0.42,18.95
16,1000,0.42,37.86
32,1000,0.58,55.43
64,1000,0.59,108.35
128,1000,1.07,119.87
256,1000,1.15,223.57
512,1000,1.23,416.49
1024,1000,1.46,702.84
2048,1000,2.12,968.06
4096,1000,2.98,1373.44
8192,1000,4.69,1745.22
16384,1000,7.13,2297.72
32768,1000,12.93,2534.20
65536,640,23.99,2732.00
131072,320,46.10,2843.03
262144,160,14.79,17719.70
524288,80,25.69,20408.52
1048576,40,58.48,17931.04
2097152,20,156.73,13380.59
4194304,10,317.73,13200.87
8388608,5,680.40,12328.87
16777216,2,2153.57,7790.43
33554432,1,5539.13,6057.71
67108864,1,11579.47,5795.51
134217728,1,23181.45,5789.88
268435456,1,46296.56,5798.17
