"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.27,0,0.3106,0
"2",1,1000,0.27,3.71,0.3108,3.2176
"3",2,1000,0.27,7.44,0.3109,6.4321
"4",4,1000,0.27,14.96,0.3112,12.8515
"5",8,1000,0.27,29.54,0.3119,25.6524
"6",16,1000,0.3,54.05,0.3131,51.1038
"7",32,1000,0.29,112.13,0.3155,101.413
"8",64,1000,0.28,225.72,0.3204,199.7219
"9",128,1000,0.29,443.45,0.3302,387.5931
"10",256,1000,0.31,829.16,0.3498,731.8594
"11",512,1000,0.56,911.61,0.3887,1317.1242
"12",1024,1000,0.6,1696.69,0.4659,2197.8519
"13",2048,1000,0.71,2880.07,0.6175,3316.4056
"14",4096,1000,0.92,4441.43,0.9098,4501.8814
"15",8192,1000,1.44,5679.75,1.4512,5644.9029
"16",16384,1000,2.32,7067.61,2.3816,6879.4888
"17",32768,1000,3.51,9341.94,3.7851,8657.0961
"18",65536,640,5.84,11225.08,5.8389,11224.079
"19",131072,320,8.89,14744.63,10.0327,13064.4188
"20",262144,160,16.47,15914.32,18.269,14349.1201
"21",524288,80,40.47,12953.74,40.4675,12955.7833
"22",1048576,40,83.92,12495.3,95.3125,11001.4573
"23",2097152,20,162.7,12889.7,188.739,11111.3852
"24",4194304,10,406.5,10318.04,406.4464,10319.451
