"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.23,0,0.246,0
"2",1,1000,0.23,4.3,0.2462,4.0617
"3",2,1000,0.23,8.59,0.2464,8.1182
"4",4,1000,0.23,17.21,0.2467,16.2155
"5",8,1000,0.23,34.43,0.2473,32.348
"6",16,1000,0.23,68.64,0.2486,64.3666
"7",32,1000,0.24,132.77,0.2511,127.4358
"8",64,1000,0.24,265.11,0.2562,249.8387
"9",128,1000,0.26,493.68,0.2663,480.7127
"10",256,1000,0.28,905.8,0.2864,893.7332
"11",512,1000,0.41,1259.72,0.3266,1567.6743
"12",1024,1000,0.45,2257.82,0.4062,2520.8347
"13",2048,1000,0.59,3487.41,0.5626,3640.0477
"14",4096,1000,0.87,4694.03,0.8642,4739.6688
"15",8192,1000,1.41,5808.46,1.4224,5759.2188
"16",16384,1000,2.35,6960.11,2.3769,6892.8711
"17",32768,1000,3.52,9317.44,3.7884,8649.6645
"18",65536,640,5.7,11498.62,5.6987,11500.2341
"19",131072,320,8.62,15210.44,9.4172,13918.3517
"20",262144,160,14.91,17586.91,16.9817,15436.859
"21",524288,80,40.4,12977.12,40.3936,12979.4943
"22",1048576,40,80.97,12949.59,100.1608,10468.9236
"23",2097152,20,155.11,13520.07,192.0734,10918.495
"24",4194304,10,398.77,10518.03,398.7138,10519.5852
