"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.25,0,0.2858,0
"2",1,1000,0.25,3.95,0.2859,3.4972
"3",2,1000,0.25,7.89,0.2861,6.9903
"4",4,1000,0.25,15.71,0.2864,13.9648
"5",8,1000,0.26,31.24,0.2871,27.8661
"6",16,1000,0.26,62.48,0.2884,55.4804
"7",32,1000,0.27,120.08,0.291,109.9673
"8",64,1000,0.27,239.52,0.2962,216.0672
"9",128,1000,0.27,469.6,0.3066,417.4693
"10",256,1000,0.29,872.12,0.3274,781.9855
"11",512,1000,0.52,977.59,0.3687,1388.6187
"12",1024,1000,0.57,1781.08,0.4507,2272.2658
"13",2048,1000,0.7,2909.45,0.6115,3348.8737
"14",4096,1000,0.91,4517.15,0.9214,4445.2553
"15",8192,1000,1.5,5451.72,1.4941,5482.9949
"16",16384,1000,2.41,6806.83,2.472,6627.825
"17",32768,1000,3.63,9036.3,3.9192,8360.8203
"18",65536,640,5.92,11069.5,5.9188,11072.4797
"19",131072,320,8.91,14718.9,9.8929,13249.0882
"20",262144,160,15.75,16646.36,17.8713,14668.4522
"21",524288,80,41.76,12554.18,41.7546,12556.4269
"22",1048576,40,83.95,12490.57,102.4333,10236.6724
"23",2097152,20,163.37,12836.8,197.3984,10623.9567
"24",4194304,10,403.81,10386.77,403.764,10388.0077
