"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.22,0,0.2372,0
"2",1,1000,0.22,4.5,0.2373,4.2135
"3",2,1000,0.22,9.03,0.2375,8.4213
"4",4,1000,0.22,17.96,0.2378,16.8197
"5",8,1000,0.22,35.91,0.2385,33.5481
"6",16,1000,0.22,71.52,0.2398,66.7339
"7",32,1000,0.24,135.41,0.2423,132.0419
"8",64,1000,0.24,270.09,0.2475,258.5623
"9",128,1000,0.25,508.6,0.2579,496.3903
"10",256,1000,0.28,912.44,0.2785,919.2286
"11",512,1000,0.41,1235.76,0.3196,1602.1078
"12",1024,1000,0.45,2297.18,0.401,2553.4587
"13",2048,1000,0.58,3510.95,0.561,3650.504
"14",4096,1000,0.83,4961.25,0.8694,4711.2069
"15",8192,1000,1.45,5645.31,1.4399,5689.1576
"16",16384,1000,2.39,6846.18,2.4134,6788.8828
"17",32768,1000,3.57,9178.08,3.8428,8527.0709
"18",65536,640,5.74,11417.05,5.7386,11420.1456
"19",131072,320,8.72,15033.17,9.4232,13909.4641
"20",262144,160,15.25,17188.68,16.9419,15473.1353
"21",524288,80,38.87,13489.23,38.865,13489.9733
"22",1048576,40,80.58,13012.32,93.7898,11180.0651
"23",2097152,20,154.44,13578.83,183.1979,11447.4658
"24",4194304,10,385.69,10874.79,385.6354,10876.3469
