"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.28,0,0.3598,0
"2",1,1000,0.28,3.55,0.36,2.7775
"3",2,1000,0.28,7.12,0.3603,5.5515
"4",4,1000,0.28,14.33,0.3607,11.0895
"5",8,1000,0.28,28.56,0.3616,22.125
"6",16,1000,0.29,54.75,0.3633,44.0356
"7",32,1000,0.29,108.49,0.3669,87.2268
"8",64,1000,0.32,202.09,0.3739,171.1726
"9",128,1000,0.37,349.02,0.3879,329.9567
"10",256,1000,0.44,575.76,0.4159,615.5438
"11",512,1000,0.59,874.75,0.4714,1086.0573
"12",1024,1000,0.68,1511.7,0.5809,1762.668
"13",2048,1000,0.8,2553.68,0.7935,2580.9594
"14",4096,1000,1.68,2433.9,1.193,3433.2539
"15",8192,1000,2.1,3908.26,1.8939,4325.5577
"16",16384,1000,2.52,6493.28,2.9681,5520.0308
"17",32768,1000,3.5,9361.59,4.183,7833.5589
"18",65536,640,5.43,12077.8,5.43,12069.3491
"19",131072,320,9.54,13743.62,9.2847,14116.9293
"20",262144,160,16.92,15492.7,17.3414,15116.6346
"21",524288,80,36.83,14236.55,36.8259,14236.9221
"22",1048576,40,98.14,10684.75,88.7173,11819.2961
"23",2097152,20,239.36,8761.46,223.5919,9379.3721
"24",4194304,10,562.83,7452.11,562.8519,7451.8784
