"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,5.15,0,5.2962,0
"2",1,1000,5.22,0.19,5.2964,0.1888
"3",2,1000,5.22,0.38,5.2966,0.3776
"4",4,1000,5.23,0.77,5.2971,0.7551
"5",8,1000,5.21,1.53,5.298,1.51
"6",16,1000,5.22,3.06,5.2997,3.019
"7",32,1000,5.23,6.12,5.3032,6.0341
"8",64,1000,5.24,12.22,5.3102,12.0522
"9",128,1000,5.29,24.18,5.3243,24.0407
"10",256,1000,5.34,47.93,5.3525,47.8283
"11",512,1000,5.35,95.78,5.4091,94.6559
"12",1024,1000,6,170.77,5.5232,185.3982
"13",2048,1000,5.8,353.07,5.7555,355.8362
"14",4096,1000,6.73,608.85,6.2354,656.8933
"15",8192,1000,7.23,1132.4,7.2605,1128.2975
"16",16384,1000,9.32,1757.63,9.5775,1710.6694
"17",32768,1000,15.35,2134.44,15.1678,2160.3725
"18",65536,640,29.21,2243.53,29.213,2243.382
"19",131072,320,41.4,3166.05,54.5709,2401.8683
"20",262144,160,60.73,4316.62,79.6252,3292.2237
"21",524288,80,93.12,5630.2,93.1059,5631.096
"22",1048576,40,156.54,6698.59,151.6461,6914.6241
"23",2097152,20,306.82,6835.15,292.8525,7161.1211
"24",4194304,10,618.68,6779.42,618.7134,6779.0742
