"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.2,0,0.2346,0
"2",1,1000,0.2,5.02,0.2348,4.2591
"3",2,1000,0.21,9.38,0.235,8.5107
"4",4,1000,0.2,20.07,0.2354,16.9913
"5",8,1000,0.19,41.89,0.2362,33.8626
"6",16,1000,0.19,82.63,0.2379,67.2502
"7",32,1000,0.22,144.17,0.2413,132.6408
"8",64,1000,0.22,292.57,0.2479,258.1457
"9",128,1000,0.3,424.69,0.2612,489.96
"10",256,1000,0.33,769.09,0.2878,889.401
"11",512,1000,0.37,1371.67,0.3408,1502.3845
"12",1024,1000,0.48,2119.07,0.4458,2296.864
"13",2048,1000,0.74,2772.57,0.6523,3139.5654
"14",4096,1000,1.11,3682.92,1.0511,3896.992
"15",8192,1000,1.86,4408.59,1.7927,4569.5981
"16",16384,1000,2.95,5561.58,3.0806,5318.4235
"17",32768,1000,4.72,6945.26,5.0684,6465.128
"18",65536,640,8.05,8136.78,8.0491,8142.0075
"19",131072,320,14.45,9069.79,12.9403,10128.97
"20",262144,160,12.57,20852.77,17.1326,15300.8639
"21",524288,80,23.51,22303.72,23.4747,22334.1769
"22",1048576,40,61.03,17181.86,58.2535,18000.2249
"23",2097152,20,137.46,15256.9,138.0099,15195.6582
"24",4194304,10,344.04,12191.15,344.025,12191.8567
