"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,1.34,0,1.5495,0
"2",1,1000,1.34,0.75,1.5499,0.6452
"3",2,1000,1.35,1.48,1.5503,1.2901
"4",4,1000,1.35,2.96,1.551,2.579
"5",8,1000,1.35,5.94,1.5525,5.1529
"6",16,1000,1.34,11.9,1.5555,10.2858
"7",32,1000,1.36,23.44,1.5616,20.492
"8",64,1000,1.56,40.99,1.5737,40.6696
"9",128,1000,1.62,79.2,1.5978,80.1107
"10",256,1000,1.86,137.61,1.6459,155.5344
"11",512,1000,1.95,262.95,1.7419,293.9356
"12",1024,1000,2.14,478.77,1.9323,529.936
"13",2048,1000,2.82,727.08,2.3071,887.6861
"14",4096,1000,3.58,1143.03,3.0328,1350.5604
"15",8192,1000,4.56,1795.04,4.3944,1864.186
"16",16384,1000,6.24,2626.19,6.8043,2407.8857
"17",32768,1000,10.27,3192.04,10.4681,3130.2593
"18",65536,640,13.6,4818.4,13.6035,4817.5987
"19",131072,320,22.36,5861.32,16.1648,8108.4985
"20",262144,160,33.53,7818.97,27.5382,9519.2899
"21",524288,80,55.95,9370.06,55.9386,9372.5559
"22",1048576,40,98.6,10634.65,98.4089,10655.2924
"23",2097152,20,185.47,11307.26,184.3191,11377.8305
"24",4194304,10,355.34,11803.54,355.3434,11803.5232
