"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,1.13,0,1.3238,0
"2",1,1000,1.13,0.88,1.3242,0.7552
"3",2,1000,1.13,1.77,1.3246,1.5099
"4",4,1000,1.14,3.51,1.3254,3.018
"5",8,1000,1.13,7.1,1.327,6.0288
"6",16,1000,1.13,14.16,1.3301,12.0293
"7",32,1000,1.16,27.62,1.3363,23.9461
"8",64,1000,1.34,47.78,1.3488,47.4488
"9",128,1000,1.39,92.13,1.3738,93.1739
"10",256,1000,1.64,156.42,1.4235,179.8322
"11",512,1000,1.71,298.71,1.5227,336.2532
"12",1024,1000,1.89,540.54,1.7191,595.652
"13",2048,1000,2.61,785.23,2.1048,973.0239
"14",4096,1000,3.37,1214.47,2.8472,1438.5922
"15",8192,1000,4.32,1897.51,4.2219,1940.341
"16",16384,1000,6.08,2695.49,6.5838,2488.5497
"17",32768,1000,9.58,3419.12,9.9533,3292.1824
"18",65536,640,12.45,5265.44,12.4519,5263.1242
"19",131072,320,21.75,6025.76,14.6666,8936.7662
"20",262144,160,32.7,8016.58,25.9394,10106.007
"21",524288,80,54.22,9669.83,54.2072,9671.924
"22",1048576,40,97.52,10752.82,94.7348,11068.5428
"23",2097152,20,185.55,11302.57,180.4805,11619.827
"24",4194304,10,352.5,11898.89,352.506,11898.5309
