"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,16.57,0,17.9799,0
"2",1,1000,16.52,0.06,17.983,0.0556
"3",2,1000,16.51,0.12,17.9862,0.1112
"4",4,1000,16.57,0.24,17.9926,0.2223
"5",8,1000,16.62,0.48,18.0054,0.4443
"6",16,1000,16.52,0.97,18.0309,0.8874
"7",32,1000,16.48,1.94,18.0818,1.7697
"8",64,1000,16.39,3.91,18.1837,3.5196
"9",128,1000,17,7.53,18.387,6.9614
"10",256,1000,17.39,14.72,18.7915,13.6232
"11",512,1000,17.44,29.35,19.5936,26.1309
"12",1024,1000,18.27,56.05,21.1701,48.37
"13",2048,1000,39.4,51.98,24.2081,84.5998
"14",4096,1000,39.81,102.88,29.8281,137.3203
"15",8192,1000,40.88,200.37,39.341,208.2308
"16",16384,1000,43.09,380.19,52.7295,310.7179
"17",32768,1000,51.67,634.15,63.1615,518.7974
"18",65536,640,59.01,1110.55,59.0224,1110.3586
"19",131072,320,119.33,1098.43,70.5148,1858.7864
"20",262144,160,161.02,1628.01,123.5366,2121.9954
"21",524288,80,240.31,2181.72,240.1856,2182.8452
"22",1048576,40,398.22,2633.13,374.658,2798.755
"23",2097152,20,731.67,2866.26,709.286,2956.7086
"24",4194304,10,1569.83,2671.82,1569.7708,2671.9213
