"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,15.53,0,17.0724,0
"2",1,1000,15.61,0.06,17.0756,0.0586
"3",2,1000,15.61,0.13,17.0787,0.1171
"4",4,1000,15.59,0.26,17.0851,0.2341
"5",8,1000,15.62,0.51,17.0979,0.4679
"6",16,1000,15.66,1.02,17.1234,0.9344
"7",32,1000,15.68,2.04,17.1744,1.8632
"8",64,1000,15.75,4.06,17.2764,3.7045
"9",128,1000,16.22,7.89,17.4798,7.3228
"10",256,1000,16.2,15.8,17.8845,14.3141
"11",512,1000,16.42,31.18,18.6868,27.3991
"12",1024,1000,16.88,60.66,20.2629,50.5356
"13",2048,1000,38.99,52.52,23.2973,87.9071
"14",4096,1000,39.23,104.42,28.8985,141.7376
"15",8192,1000,39.68,206.46,38.3282,213.7331
"16",16384,1000,41.67,393.16,51.6202,317.395
"17",32768,1000,48.92,669.77,64.3378,509.3119
"18",65536,640,90.57,723.57,90.5625,723.6551
"19",131072,320,133.67,980.58,186.9197,701.2207
"20",262144,160,204.8,1280,278.6759,940.677
"21",524288,80,316.57,1656.13,316.5388,1656.3152
"22",1048576,40,526.29,1992.39,502.1862,2088.0221
"23",2097152,20,934.7,2243.66,926.0931,2264.5154
"24",4194304,10,1968.57,2130.64,1968.4295,2130.787
