"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,1.36,0,1.5819,0
"2",1,1000,1.36,0.74,1.5825,0.6319
"3",2,1000,1.35,1.48,1.583,1.2635
"4",4,1000,1.36,2.95,1.584,2.5253
"5",8,1000,1.36,5.9,1.586,5.0442
"6",16,1000,1.36,11.75,1.59,10.0626
"7",32,1000,1.4,22.92,1.5981,20.0235
"8",64,1000,1.69,37.9,1.6143,39.6459
"9",128,1000,1.73,74.05,1.6466,77.7372
"10",256,1000,1.99,128.46,1.7109,149.6266
"11",512,1000,2.08,245.63,1.8389,278.4317
"12",1024,1000,2.33,440.24,2.0917,489.5522
"13",2048,1000,2.97,689.87,2.5849,792.2892
"14",4096,1000,3.92,1043.9,3.5217,1163.0667
"15",8192,1000,5.49,1491.65,5.2027,1574.5533
"16",16384,1000,7.27,2253.65,7.9004,2073.8174
"17",32768,1000,10.11,3242.75,11.2885,2902.7839
"18",65536,640,14.5,4519.64,14.4986,4520.1726
"19",131072,320,23.47,5583.51,21.0932,6213.9484
"20",262144,160,33.51,7822.75,33.4588,7834.8286
"21",524288,80,56.82,9227.78,56.8034,9229.8662
"22",1048576,40,98.79,10614,102.6903,10211.0525
"23",2097152,20,184.81,11347.64,189.1713,11085.9918
"24",4194304,10,355.07,11812.51,355.0736,11812.493
