"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.44,0,0.5467,0
"2",1,1000,0.45,2.2,0.547,1.8283
"3",2,1000,0.45,4.43,0.5472,3.655
"4",4,1000,0.45,8.86,0.5476,7.304
"5",8,1000,0.46,17.55,0.5485,14.584
"6",16,1000,0.45,35.79,0.5503,29.0724
"7",32,1000,0.48,65.99,0.554,57.7668
"8",64,1000,0.49,131.78,0.5612,114.0507
"9",128,1000,0.57,224.89,0.5755,222.3987
"10",256,1000,0.62,411.39,0.6043,423.6598
"11",512,1000,0.97,528.96,0.6615,774.0497
"12",1024,1000,0.99,1033.34,0.7749,1321.4285
"13",2048,1000,1.2,1710.72,0.9981,2051.9788
"14",4096,1000,1.58,2588.08,1.4293,2865.8366
"15",8192,1000,2.15,3808.81,2.2326,3669.2929
"16",16384,1000,3.51,4663.5,3.6345,4507.877
"17",32768,1000,5.45,6007.92,5.8239,5626.5109
"18",65536,640,9.15,7164.07,9.1487,7163.4113
"19",131072,320,15.29,8572.65,15.9529,8216.2067
"20",262144,160,28.16,9309.35,30.0562,8721.8019
"21",524288,80,67.42,7776.13,67.4136,7777.1836
"22",1048576,40,133.59,7849.09,154.0608,6806.2481
"23",2097152,20,256.75,8168.06,288.4476,7270.4775
"24",4194304,10,512.45,8184.83,512.4304,8185.1188
