"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,9.32,0,9.3854,0
"2",1,1000,9.28,0.11,9.3863,0.1065
"3",2,1000,9.26,0.22,9.3872,0.2131
"4",4,1000,9.25,0.43,9.389,0.426
"5",8,1000,9.26,0.86,9.3927,0.8517
"6",16,1000,9.28,1.72,9.4,1.7021
"7",32,1000,9.23,3.47,9.4145,3.399
"8",64,1000,9.41,6.8,9.4436,6.777
"9",128,1000,9.45,13.55,9.5019,13.471
"10",256,1000,9.53,26.87,9.6184,26.6157
"11",512,1000,10.92,46.87,9.8512,51.9736
"12",1024,1000,11.13,91.98,10.3161,99.2627
"13",2048,1000,11.52,177.8,11.244,182.142
"14",4096,1000,13.17,311.1,13.0912,312.881
"15",8192,1000,14.03,584.03,16.7356,489.4946
"16",16384,1000,25.58,640.45,23.7366,690.2413
"17",32768,1000,36.64,894.34,36.5065,897.5945
"18",65536,640,56.99,1149.93,56.973,1150.2993
"19",131072,320,101.91,1286.12,87.2902,1501.5669
"20",262144,160,123.91,2115.63,129.9261,2017.6393
"21",524288,80,181.8,2883.91,181.6668,2885.9874
"22",1048576,40,340.22,3082.03,300.8558,3485.311
"23",2097152,20,676.67,3099.24,615.0333,3409.8184
"24",4194304,10,1332.28,3148.21,1332.333,3148.0898
