"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,8.03,0,8.2792,0
"2",1,1000,8.21,0.12,8.2801,0.1208
"3",2,1000,8.16,0.25,8.2809,0.2415
"4",4,1000,8.02,0.5,8.2826,0.4829
"5",8,1000,7.98,1,8.286,0.9655
"6",16,1000,7.97,2.01,8.2928,1.9294
"7",32,1000,7.99,4,8.3064,3.8525
"8",64,1000,8.33,7.68,8.3336,7.6798
"9",128,1000,8.26,15.5,8.3879,15.2601
"10",256,1000,8.29,30.88,8.4966,30.1298
"11",512,1000,10.04,50.98,8.7139,58.7567
"12",1024,1000,10.25,99.91,9.1483,111.9329
"13",2048,1000,10.66,192.14,10.0169,204.4537
"14",4096,1000,11.65,351.46,11.7523,348.5266
"15",8192,1000,13.17,622,15.2055,538.7521
"16",16384,1000,23.25,704.64,21.9573,746.1749
"17",32768,1000,35.07,934.45,34.5284,949.0165
"18",65536,640,53.92,1215.34,53.9102,1215.6502
"19",131072,320,101.65,1289.4,79.6911,1644.7513
"20",262144,160,113.09,2317.99,117.488,2231.2404
"21",524288,80,176.75,2966.21,176.5754,2969.2021
"22",1048576,40,316.99,3307.95,319.5892,3281.0125
"23",2097152,20,626.39,3347.99,618.9864,3388.0421
"24",4194304,10,1239.86,3382.89,1239.9238,3382.7111
