"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,0.53,0,0.8296,0
"2",1,1000,0.57,1.75,0.8299,1.2049
"3",2,1000,0.57,3.52,0.8302,2.409
"4",4,1000,0.56,7.12,0.8308,4.8147
"5",8,1000,0.57,14.09,0.8319,9.6161
"6",16,1000,0.61,26.07,0.8342,19.179
"7",32,1000,0.72,44.65,0.8388,38.1475
"8",64,1000,0.83,77.09,0.8481,75.4669
"9",128,1000,0.95,135.27,0.8664,147.7329
"10",256,1000,1.08,238.13,0.903,283.494
"11",512,1000,1.26,406.22,0.9757,524.7766
"12",1024,1000,1.58,647.16,1.1187,915.3151
"13",2048,1000,1.68,1220.67,1.3959,1467.1473
"14",4096,1000,2.68,1529.94,1.9145,2139.4854
"15",8192,1000,2.92,2806.61,2.815,2910.1351
"16",16384,1000,3.52,4659.78,4.1638,3934.8272
"17",32768,1000,4.63,7082.34,5.5577,5895.9485
"18",65536,640,6.49,10094.7,6.4899,10098.1108
"19",131072,320,10.14,12929.09,9.9025,13236.1891
"20",262144,160,17.86,14676.87,17.8279,14704.149
"21",524288,80,38.13,13749.88,38.1283,13750.6326
"22",1048576,40,101.21,10360.18,90.343,11606.6082
"23",2097152,20,242.89,8634.04,219.4615,9555.8988
"24",4194304,10,491.85,8527.54,491.9025,8526.6979
