"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp"
"1",0,1000,7.95,0,8.2166,0
"2",1,1000,8.05,0.12,8.217,0.1217
"3",2,1000,8.01,0.25,8.2174,0.2434
"4",4,1000,8.02,0.5,8.2182,0.4867
"5",8,1000,7.97,1,8.2198,0.9733
"6",16,1000,8.03,1.99,8.223,1.9458
"7",32,1000,8.03,3.98,8.2293,3.8885
"8",64,1000,8.03,7.97,8.2421,7.765
"9",128,1000,8.45,15.15,8.2677,15.4819
"10",256,1000,8.5,30.11,8.319,30.7729
"11",512,1000,8.53,60.04,8.422,60.7935
"12",1024,1000,9.45,108.38,8.6295,118.6626
"13",2048,1000,9.07,225.88,9.051,226.274
"14",4096,1000,10.72,382.26,9.9195,412.9248
"15",8192,1000,11.63,704.38,11.7634,696.3996
"16",16384,1000,15.52,1055.96,15.9253,1028.8031
"17",32768,1000,25.99,1261.01,26.3111,1245.4037
"18",65536,640,56.29,1164.23,56.2912,1164.2312
"19",131072,320,81.97,1599.07,115.9991,1129.9394
"20",262144,160,123.41,2124.17,171.7478,1526.3308
"21",524288,80,197.54,2654.13,197.5086,2654.5065
"22",1048576,40,335.45,3125.92,331.8402,3159.8822
"23",2097152,20,630.62,3325.56,620.8093,3378.0935
"24",4194304,10,1242.11,3376.76,1242.127,3376.7112
