"","X.bytes","X.repetitions","t.usec.","Mbytes.sec"
"1",0,1000,8.64,0
"2",1,1000,8.7,0.11
"3",2,1000,8.69,0.23
"4",4,1000,8.75,0.46
"5",8,1000,8.72,0.92
"6",16,1000,8.74,1.83
"7",32,1000,8.73,3.67
"8",64,1000,8.72,7.34
"9",128,1000,9.07,14.11
"10",256,1000,9.08,28.18
"11",512,1000,9.19,55.7
"12",1024,1000,10.45,97.95
"13",2048,1000,9.72,210.76
"14",4096,1000,11.64,351.9
"15",8192,1000,12.38,661.59
"16",16384,1000,17.04,961.64
"17",32768,1000,27.28,1201.01
"18",65536,640,61.53,1065.08
"19",131072,320,88.55,1480.25
"20",262144,160,134.58,1947.81
"21",524288,80,206.05,2544.49
"22",1048576,40,355.43,2950.15
"23",2097152,20,670.57,3127.44
"24",4194304,10,1332.15,3148.52
