#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.63,1.59
2,1000,0.62,3.21
4,1000,0.62,6.45
8,1000,0.63,12.72
16,1000,0.62,25.61
32,1000,0.66,48.68
64,1000,0.79,81.42
128,1000,0.89,143.30
256,1000,1.04,245.03
512,1000,1.06,484.16
1024,1000,1.40,732.74
2048,1000,1.75,1169.71
4096,1000,2.93,1399.71
8192,1000,3.18,2575.29
16384,1000,3.70,4432.41
32768,1000,4.73,6922.65
65536,640,6.80,9639.91
131072,320,10.61,12351.00
262144,160,19.81,13234.88
524288,80,39.82,13166.39
1048576,40,91.18,11499.55
2097152,20,221.94,9449.02
4194304,10,406.11,10328.05
