#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.27,3.67
2,1000,0.27,7.34
4,1000,0.27,14.68
8,1000,0.27,29.42
16,1000,0.27,59.21
32,1000,0.28,113.22
64,1000,0.28,224.83
128,1000,0.29,440.31
256,1000,0.31,836.49
512,1000,0.55,939.11
1024,1000,0.60,1710.99
2048,1000,0.74,2780.43
4096,1000,0.94,4361.74
8192,1000,1.51,5409.80
16384,1000,2.40,6816.93
32768,1000,3.64,8994.58
65536,640,5.83,11248.74
131072,320,8.80,14891.69
262144,160,15.38,17048.73
524288,80,43.11,12162.66
1048576,40,83.51,12556.60
2097152,20,165.07,12704.98
4194304,10,412.86,10159.14
8388608,5,1027.88,8161.06
16777216,2,2152.10,7795.74
33554432,1,4594.56,7303.07
67108864,1,9850.48,6812.75
134217728,1,20357.33,6593.09
268435456,1,41182.56,6518.18
