#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.54
2,1000,0.28,7.10
4,1000,0.28,14.19
8,1000,0.28,28.15
16,1000,0.29,54.32
32,1000,0.30,107.29
64,1000,0.30,214.26
128,1000,0.31,419.65
256,1000,0.33,776.76
512,1000,0.57,900.80
1024,1000,0.62,1659.68
2048,1000,0.74,2775.87
4096,1000,0.94,4355.07
8192,1000,1.50,5468.64
16384,1000,2.37,6913.79
32768,1000,3.64,8992.11
65536,640,5.86,11189.96
131072,320,8.85,14815.39
262144,160,16.10,16281.15
524288,80,41.18,12731.73
1048576,40,83.75,12519.75
2097152,20,164.07,12782.19
4194304,10,409.83,10234.23
8388608,5,1044.81,8028.81
16777216,2,2180.19,7695.30
33554432,1,6051.53,5544.78
67108864,1,8509.18,7886.64
134217728,1,18491.59,7258.31
268435456,1,39384.80,6815.71
