#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.40
2,1000,0.23,8.71
4,1000,0.23,17.53
8,1000,0.23,35.28
16,1000,0.23,69.86
32,1000,0.25,125.82
64,1000,0.25,256.33
128,1000,0.26,487.53
256,1000,0.28,917.56
512,1000,0.44,1162.40
1024,1000,0.44,2311.18
2048,1000,0.60,3397.12
4096,1000,0.84,4859.74
8192,1000,1.45,5647.01
16384,1000,2.34,7015.13
32768,1000,3.48,9405.43
65536,640,5.73,11440.91
131072,320,8.71,15049.76
262144,160,15.09,17372.88
524288,80,42.33,12387.15
1048576,40,82.39,12727.33
2097152,20,155.51,13485.80
4194304,10,397.17,10560.51
8388608,5,1136.02,7384.21
16777216,2,2550.24,6578.68
33554432,1,5884.16,5702.50
67108864,1,11666.35,5752.34
134217728,1,23550.29,5699.20
268435456,1,48426.48,5543.15
