#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.29
2,1000,0.23,8.55
4,1000,0.23,17.18
8,1000,0.23,34.40
16,1000,0.23,68.41
32,1000,0.24,131.10
64,1000,0.24,262.71
128,1000,0.26,490.92
256,1000,0.28,910.25
512,1000,0.41,1245.12
1024,1000,0.46,2214.56
2048,1000,0.60,3402.67
4096,1000,0.85,4795.27
8192,1000,1.40,5860.78
16384,1000,2.35,6964.26
32768,1000,3.50,9351.85
65536,640,5.73,11445.83
131072,320,8.70,15059.04
262144,160,15.06,17411.11
524288,80,41.79,12546.13
1048576,40,82.07,12776.95
2097152,20,156.70,13383.64
4194304,10,391.36,10717.33
8388608,5,1121.45,7480.11
16777216,2,2458.52,6824.11
33554432,1,5877.83,5708.64
67108864,1,11675.92,5747.63
134217728,1,23542.56,5701.07
268435456,1,48367.02,5549.97
