#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.48,0.00
1,1000,0.45,2.20
2,1000,0.42,4.78
4,1000,0.46,8.68
8,1000,0.47,17.03
16,1000,0.46,34.99
32,1000,0.48,66.69
64,1000,0.54,119.22
128,1000,0.48,264.56
256,1000,0.55,466.91
512,1000,0.75,680.26
1024,1000,0.83,1236.43
2048,1000,0.94,2179.18
4096,1000,1.15,3573.24
8192,1000,1.60,5104.40
16384,1000,2.39,6861.26
32768,1000,3.56,9200.98
65536,640,5.95,11010.94
131072,320,8.90,14732.90
262144,160,17.09,15338.55
524288,80,41.21,12721.03
1048576,40,84.31,12436.80
2097152,20,175.12,11975.38
4194304,10,420.53,9973.75
8388608,5,1026.91,8168.79
16777216,2,2160.46,7765.59
33554432,1,6090.22,5509.56
67108864,1,8908.64,7533.01
134217728,1,18223.12,7365.24
268435456,1,39158.92,6855.03
