#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.52,0.00
1,1000,0.49,2.02
2,1000,0.48,4.14
4,1000,0.51,7.82
8,1000,0.51,15.67
16,1000,0.53,30.41
32,1000,0.53,60.18
64,1000,0.54,117.64
128,1000,0.56,227.22
256,1000,0.48,528.92
512,1000,0.65,785.36
1024,1000,0.75,1360.63
2048,1000,0.88,2332.32
4096,1000,1.14,3603.60
8192,1000,1.52,5388.07
16384,1000,2.36,6935.75
32768,1000,3.51,9348.41
65536,640,5.69,11523.26
131072,320,8.82,14858.05
262144,160,15.14,17317.49
524288,80,42.60,12308.16
1048576,40,82.75,12671.58
2097152,20,155.39,13496.13
4194304,10,389.16,10777.77
8388608,5,1144.99,7326.37
16777216,2,2555.77,6564.45
33554432,1,5869.57,5716.68
67108864,1,11680.03,5745.61
134217728,1,23512.35,5708.39
268435456,1,48464.76,5538.78
