#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.27,3.69
2,1000,0.27,7.31
4,1000,0.27,14.68
8,1000,0.27,29.20
16,1000,0.29,54.69
32,1000,0.29,110.17
64,1000,0.32,199.09
128,1000,0.38,339.95
256,1000,0.44,575.31
512,1000,0.64,804.75
1024,1000,0.68,1506.13
2048,1000,0.83,2477.32
4096,1000,1.80,2274.62
8192,1000,2.06,3967.42
16384,1000,2.61,6277.45
32768,1000,3.62,9063.33
65536,640,5.73,11444.10
131072,320,9.56,13711.43
262144,160,19.33,13561.75
524288,80,39.40,13307.50
1048576,40,93.71,11190.00
2097152,20,219.66,9547.07
4194304,10,550.74,7615.82
