#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.59
2,1000,0.28,7.09
4,1000,0.28,14.20
8,1000,0.28,28.51
16,1000,0.29,54.89
32,1000,0.29,110.22
64,1000,0.32,197.74
128,1000,0.39,327.51
256,1000,0.41,624.21
512,1000,0.59,875.18
1024,1000,0.65,1581.42
2048,1000,0.82,2499.11
4096,1000,1.71,2389.63
8192,1000,1.97,4148.11
16384,1000,2.54,6442.99
32768,1000,3.48,9402.71
65536,640,5.37,12194.20
131072,320,9.27,14138.68
262144,160,17.30,15149.77
524288,80,38.97,13452.87
1048576,40,98.09,10690.39
2097152,20,269.44,7783.47
4194304,10,643.01,6522.92
8388608,5,1684.35,4980.33
16777216,2,4055.24,4137.17
33554432,1,8702.24,3855.84
67108864,1,17152.33,3912.52
134217728,1,33648.15,3988.86
268435456,1,65549.18,4095.18
