#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.20,0.00
1,1000,5.25,0.19
2,1000,5.27,0.38
4,1000,5.24,0.76
8,1000,5.57,1.44
16,1000,5.57,2.87
32,1000,5.58,5.74
64,1000,5.62,11.39
128,1000,5.67,22.57
256,1000,5.69,45.00
512,1000,5.73,89.38
1024,1000,6.28,162.99
2048,1000,6.16,332.24
4096,1000,7.12,575.39
8192,1000,7.58,1081.25
16384,1000,9.88,1658.06
32768,1000,15.71,2086.29
65536,640,30.62,2140.04
131072,320,43.76,2995.34
262144,160,63.55,4125.04
524288,80,96.54,5430.91
1048576,40,162.08,6469.51
2097152,20,311.52,6732.06
4194304,10,608.53,6892.51
8388608,5,1464.57,5727.69
16777216,2,3177.63,5279.79
33554432,1,6396.12,5246.06
67108864,1,12707.27,5281.14
134217728,1,25319.13,5301.04
268435456,1,50148.67,5352.79
